sortie_id,report_date,unit,squadron,source_front_image,paired_back_candidate_by_rule,paired_back_reviewed,aircraft_type,aircraft_count,base,oprep_ref,lead_aircraft,primary_target,alternate_target,target_status,time_up,time_over_target,time_down,route_summary,observation_points_raw,map_reference,weather_summary,bomb_load_carried,bombs_on_target,bombs_salvoed_or_jettisoned,bombs_returned,bombing_course,bombing_speed,bombing_altitude,bombing_interval,ammo_expended,results_summary,opposition_summary,casualties,photo_aircraft,leaflet_drops,special_remarks,coordinate_count,confidence,map_points_json
81BS_1944-10-12,1944-10-12,12th Bombardment Group (M),81st Squadron,IMG_3452.JPG,IMG_3453.JPG,no,"12 B-25s (3 J's, 8 H's, 1 G)",12,Feni,,,"R.R. Bridge No. 393 at Sinthe, LQ 682367, elev. 450 feet","bridge at Shweda, LQ 525925",alternate attacked,0824,1020 first box / 1022 second box,1210,Mission from Feni with eight P-38 escorts against the Sinthe bridge. The bridge appeared serviceable on arrival although craters were observed close to the northwestern support. Aircraft 12 was unable to release over the target and later jettisoned after returning toward Feni.,LQ 682367; LQ 525925; 23 20 N 91 20 E; 22 45 N 91 20 E; 20 26 N 95 07 E; 20 46 N 94 46 E; 20 08 N 96 16 E,,,,,,,90 degrees | 100 degrees,,2500 feet | 2900 feet,,455 rounds,,,,were taken from K-24 fixed cameras in aircraft 22 and 21 and a K-20 flexible camera in aircraft 12,"in target area: 50,000 SJ/40, 10,000 SB/17, 5,000 SJN/8, 4,000 SB/15, and 2,500 SBN/3","78 x 500-lb GP bombs were carried; 72 were dropped on target and 6 were jettisoned. First box bombed at 1020 from true altitude 2500 feet on a course of 90 degrees at IAS 185; second box bombed at 1022 from true altitude 2900 feet on a heading of 100 degrees at IAS 185. Assessment states strikes were obtained on the first and probably second spans and the bridge was badly damaged. A/C 12 jettisoned four bombs at 23 20 N, 91 20 E and two at 22 45 N, 91 20 E at 1225 after wheel trouble; four exploded and two fell safe. Ammunition expended: 455 rounds .50 cal. Photos were taken from K-24 fixed cameras in aircraft 22 and 21 and a K-20 flexible camera in aircraft 12. Leaflets dropped in target area: 50,000 SJ/40, 10,000 SB/17, 5,000 SJN/8, 4,000 SB/15, and 2,500 SBN/3. Rule-linked candidate IMG_3453.JPG has not yet been reviewed.",5,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}, {""kind"": ""coordinate"", ""lat"": 23.333333, ""lon"": 91.333333, ""label"": ""23 20 N 91 20 E""}, {""kind"": ""coordinate"", ""lat"": 22.75, ""lon"": 91.333333, ""label"": ""22 45 N 91 20 E""}, {""kind"": ""coordinate"", ""lat"": 20.433333, ""lon"": 95.116667, ""label"": ""20 26 N 95 07 E""}, {""kind"": ""coordinate"", ""lat"": 20.766667, ""lon"": 94.766667, ""label"": ""20 46 N 94 46 E""}, {""kind"": ""coordinate"", ""lat"": 20.133333, ""lon"": 96.266667, ""label"": ""20 08 N 96 16 E""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}]"
82BS_1944-10-13,1944-10-13,12th Bombardment Group (M),82nd Squadron,IMG_3457.JPG,IMG_3458.JPG,no,12 Mitchells,12,Fenny,,,"Demolition bombing of military area at Hsenwi, Burma, 23 18N 97 55E (SO 9000)",,,0715,0945 first box / 0947 second box,1240,"Mission from Fenny against the Hsenwi military area. Weather summary notes haze to 2500 feet from base to hills, scattered stratocumulus over hills and target, and building weather on return over the Chin Hills.",SO 9000; 23 18N 97 55E,,,,,,,,185 MPH,2500 feet | 7000 feet,,615 rounds,,,,"aircraft included 33, 39, 46, 31, and 44",,"264 x 100-lb GP bombs were carried and all were dropped on target. Bombing was from roughly 7000 feet at 185 MPH with 200-foot interval spacing. Ammunition expended: 615 rounds .50 cal. First-box pattern covered the southern portion of the target; second-box pattern covered the center and ran slightly west of the target. One basha received three direct hits, producing a very large explosion and dark smoke. Photo aircraft included 33, 39, 46, 31, and 44. Rule-linked candidate IMG_3458.JPG has not yet been reviewed.",1,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}, {""kind"": ""coordinate"", ""lat"": 23.3, ""lon"": 97.916667, ""label"": ""23 18N 97 55E""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}]"
83BS_1944-10-13,1944-10-13,12th Bombardment Group (M),83rd Bombardment Squadron,IMG_3459.JPG,IMG_3460.JPG,no,12 Mitchell B-25s,12,"Fenny A/D, India",,,"Bomb stores area at Hsenwi, Burma",,primary attacked,0721,0945,1215,"Route recorded as base on a 90-degree heading to a point 15 miles south of target, then direct to target and direct return to base. General weather was listed as poor, with building cumulus over the hills on return.",22 57N 97 32E; SS 8772; Hsenwi; Namtu area,,,,,,,,175 MPH,240 feet | 8600 feet,240 feet,720 rounds,"note hits on buildings with a large explosion, multiple fires, and more than six fires visible in the target area. Opposition and casualties were nil. Photo ships included aircraft 53, 61, 60, and 59","and casualties were nil. Photo ships included aircraft 53, 61, 60, and 59",were nil,"ships included aircraft 53, 61, 60, and 59",,"264 x 100-lb GP bombs were carried and all 264 were dropped on target. Bombing interval 240 feet. Courses were listed for the two boxes and bombing altitudes were approximately 9400 and 8600 feet; speeds 185 and 175 MPH. Ammunition expended: 720 rounds .50 cal. Results note hits on buildings with a large explosion, multiple fires, and more than six fires visible in the target area. Opposition and casualties were nil. Photo ships included aircraft 53, 61, 60, and 59. Observations mention a train with an engine at each end at 22 57N, 97 32E, smoke from the Namtu area, and a new hill road at SS 8772 with trucks and buildings. Rule-linked candidate IMG_3460.JPG has not yet been reviewed.",1,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny A/D, India""}, {""kind"": ""coordinate"", ""lat"": 22.95, ""lon"": 97.533333, ""label"": ""22 57N 97 32E""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny A/D, India""}]"
434BS_1944-10-15,1944-10-15,12th Bombardment Group (M),434th Squadron,IMG_3465.JPG,IMG_3466.JPG,no,12 B-25s,12,Comilla,,,Bomb Meiktila A/D and dispersal areas,,,0700,0923,1110,"All aircraft took off at 0700. Aircraft 84, 88, and 87 returned to base at 0740 after the element was recalled when the flight leader developed engine trouble. Aircraft 74 also developed engine trouble, salvoed bombs safe in the water at 22 25N, 91 35E, and returned to base at 0815. Remaining aircraft flew devious courses to the target and returned on courses 287 and 299 degrees.",22 25N 91 35E; Meiktila airfield and dispersal areas,,,,,,,330 degrees,,8600 feet | 300 feet,300 feet,488 rounds,,,,"were taken in aircraft 76, 82, and 87, and 10 rail cars were observed on a siding just south of Meiktila",,"80 x 500-lb M-64 GP bombs were carried; 54 were dropped in the target area, 18 returned to base, and 8 were salvoed safe at 22 25N, 91 35E. Ammunition expended: 488 rounds .50 cal estimated test fire. Eight aircraft bombed as a box on a course of 330 degrees at indicated 8600 feet, IAS 210, interval 300 feet. About 15 hits were scored on the runway. About 65 bursts of heavy AA were encountered, and about half the glass of the top turret of aircraft 76 was blown off by AA fire, though the gunner was uninjured. Photos were taken in aircraft 76, 82, and 87, and 10 rail cars were observed on a siding just south of Meiktila. Rule-linked candidate IMG_3466.JPG has not yet been reviewed.",1,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}, {""kind"": ""event_coordinate"", ""lat"": 22.416667, ""lon"": 91.583333, ""label"": ""22 25N, 91 35E""}, {""kind"": ""base_return"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}]"
81BS_1944-10-15,1944-10-15,12th Bombardment Group (M),81st Squadron,IMG_3469.JPG,IMG_3470.JPG,no,"12 B-25s (4 J's, 7 H's, 1 G)",12,Feni,,,"Airfield at Meiktila, 20 53 N, 95 52 E",,,0726,0935 at Meiktila / 0937 at Thedaw,1115,"Mission from Feni with ten P-38 escorts against Meiktila airfield. Craters could be observed in the Meiktila runway on arrival while Thedaw appeared serviceable. Because the primary target was partially obscured by clouds, the second box continued northeast and bombed Thedaw instead of making a second run at Meiktila.",20 53 N 95 52 E; 20 53 N 95 54 E; Yenangyaung 20 28 N 94 55 E,,,,,,,22 degrees | 350 degrees,,7250 feet | 7500 feet,,435 rounds,,,,"from fixed cameras in aircraft 27, 22, and 21, plus flexible cameras in aircraft 12 and 28",,"264 x 100-lb M1A1 fragmentation clusters were carried. 132 x 100 were dropped on Meiktila and 132 x 100 on Thedaw. The first box bombed Meiktila at 0935 from a true altitude of 7250 feet on a course of 22 degrees at IAS 200; the second bombed Thedaw at 0937 from a true altitude of 7500 feet on a course of 350 degrees at IAS 195. Ammunition expended: 435 rounds .50 cal. Assessment says Meiktila runway had 8 to 10 craters and the east-side dispersal areas at both fields were well covered with fragments. About 18 bursts of HAA were observed at Yenangyaung; meager HAA and inaccurate light AA were also reported at Meiktila and Thedaw. Photographs were taken from fixed cameras in aircraft 27, 22, and 21, plus flexible cameras in aircraft 12 and 28. A large river steamer about 200 feet long was seen tied to the east bank at Yenangyaung. Rule-linked candidate IMG_3470.JPG has not yet been reviewed.",3,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}, {""kind"": ""coordinate"", ""lat"": 20.883333, ""lon"": 95.866667, ""label"": ""20 53 N 95 52 E""}, {""kind"": ""coordinate"", ""lat"": 20.883333, ""lon"": 95.9, ""label"": ""20 53 N 95 54 E""}, {""kind"": ""coordinate"", ""lat"": 20.466667, ""lon"": 94.916667, ""label"": ""20 28 N 94 55 E""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}]"
82BS_1944-10-15,1944-10-15,12th Bombardment Group (M),82nd Squadron,IMG_3467.JPG,IMG_3468.JPG,no,12 Mitchells,12,Fenny,,,Fragmentary bombing of dispersal area southeast of runway at Meiktila A/D,,,0730,,1130,"Target weather notes scattered buildups of alto-cumulus with 2/10 to 4/10 cover. The BA line identifies fragmentary bombing of the dispersal area southeast of the runway at Meiktila A/D, escorted by 12 P-38s. First and second box bombing times are listed as 0935 and 0936.",Meiktila A/D; 20 53N 95 53E; LL320330; Yenangyaung PU 1685,,,,,,,35 degrees,185 MPH,7800 feet | 300 feet,300 feet,685 rounds,state the first box pattern carried from the southwest edge to the northeast edge of the target area and the second box laid two strings through the center and along the western edge. At least 30 bursts of HAA were observed from Yenangyaung and at least 40 more from the vicinity of Meiktila. Rule-linked candidate IMG_3468,,,,,"264 x 100-lb fragmentation clusters (M1A1) were carried; 242 were dropped and 12 were brought back after aircraft 48 returned early due to mechanical trouble. Bombing courses were 35 degrees for both boxes at 185 MPH, altitudes about 7600 and 7800 feet, interval 300 feet. Ammunition expended: 685 rounds .50 cal. Results state the first box pattern carried from the southwest edge to the northeast edge of the target area and the second box laid two strings through the center and along the western edge. At least 30 bursts of HAA were observed from Yenangyaung and at least 40 more from the vicinity of Meiktila. Rule-linked candidate IMG_3468.JPG has not yet been reviewed.",1,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}, {""kind"": ""coordinate"", ""lat"": 20.883333, ""lon"": 95.883333, ""label"": ""20 53N 95 53E""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}]"
434BS_1944-10-16,1944-10-16,12th Bombardment Group (M),434th Squadron,IMG_3478.JPG,IMG_3479.JPG,no,13 B-25s,13,Comilla,,,"Thedaw airfield, Burma",,alternate attacked,1130,,1315,All planes took off from 1130 to 1137 and flew to Feni on a course of 115 degrees. After joining with the 83rd Squadron they flew to Chittagong on a course of 157 degrees. After rendezvous with P-38 fighter escort they turned back just northeast of Chittagong on account of bad weather in the Chin hills.,Chittagong area; Chin hills northeast of Chittagong,,"entry notes 3-4/10 stratocumulus with 1500-foot bases from base to Chittagong, 10/10 altocumulus with 6500-foot bases, and thunderheads northeast of Chittagong with tops to 30,000-35,000 feet",,,,,,,000 feet,,,,,,,,"Mission aborted. 83 x 500-lb M-64 GP bombs with 1/10 second nose and 1/40 second tail fuzing were carried on takeoff; no ammunition was expended and all bombs were brought back. Weather entry notes 3-4/10 stratocumulus with 1500-foot bases from base to Chittagong, 10/10 altocumulus with 6500-foot bases, and thunderheads northeast of Chittagong with tops to 30,000-35,000 feet; cumulonimbus coverage 10/10 in the thunderhead area. Rule-linked candidate IMG_3479.JPG has not yet been reviewed.",0,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}, {""kind"": ""coordinate"", ""lat"": 20.38, ""lon"": 94.88, ""label"": ""Thedaw""}, {""kind"": ""base_return"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}]"
81BS_1944-10-16,1944-10-16,12th Bombardment Group (M),81st Squadron,IMG_3483.JPG,IMG_3484.JPG,no,"12 B-25s (4 J's, 7 H's, 1 G)",12,Feni,,,"Thedaw Airfield, 20 53 N, 95 54 E, elev. 710 feet",,,1201,1414 second box / 1427 first box,1630 to 1745,"Formation was unable to reach the primary target due to weather and attempted to bomb railroad bridge #155 instead. Aircraft 17 and 13 later diverted for fuel on return, and aircraft 23 did not return to base by the time the original report was filed.",20 53 N 95 54 E; 20 33 N 94 54 E; 21 10 N 93 30 E; Coxes Bazar; Chiringa; Silchar,,,,,,,38 degrees | 10 degrees,,7000 feet | 6000 feet | 000 feet,,500 rounds,,,,were taken from K-24 fixed cameras in aircraft 26 and 22 and K-20 flexible cameras in aircraft 12 and 28,,"80 x 500-lb GP bombs with 1/10 nose and 1/40 tail fuzing were carried. 72 bombs were initially recorded as dropped on target, with aircraft 23 missing at report time; the 17 October supplement states aircraft 23 had also bombed with the formation, dropping its 8 bombs before diverting. The first box bombed on its second run at 1427 on a course of 38 degrees from 7000 feet true altitude at IAS 185; the pattern was well over and to the right of the bridge. The second box bombed at 1414 on a course of 10 degrees from 6000 feet at IAS 210, also over and to the right of the bridge. Ammunition expended: 500 rounds .50 caliber. No damage was done to the bridge. Photos were taken from K-24 fixed cameras in aircraft 26 and 22 and K-20 flexible cameras in aircraft 12 and 28; all were of the target. One river boat was seen tied to the bank at 20 33 N, 94 54 E. Supplementary sortie report IMG_3489.JPG notes aircraft 23 left formation at 21 10 N, 93 30 E due to weather, landed at Silchar at 1750, spent the night, and returned to base on 17 October after taking off at 0745; icing was reported at 17,000-18,000 feet and K-24 photos were taken on the bomb run from this aircraft.",3,high for front-page extraction with supplement integrated,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}, {""kind"": ""coordinate"", ""lat"": 20.883333, ""lon"": 95.9, ""label"": ""20 53 N 95 54 E""}, {""kind"": ""coordinate"", ""lat"": 20.55, ""lon"": 94.9, ""label"": ""20 33 N 94 54 E""}, {""kind"": ""coordinate"", ""lat"": 21.166667, ""lon"": 93.5, ""label"": ""21 10 N 93 30 E""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}]"
82BS_1944-10-16,1944-10-16,12th Bombardment Group (M),82nd Squadron,IMG_3481.JPG,IMG_3482.JPG,no,12 Mitchells,12,Fenny,,,"northern portion of alternate runway at Thedaw Airdrome, LL3436 (84 P quarter-inch)",,alternate attacked,1150,1410 first box / 1411 second box,1608,"Target weather listed 4/10 to 6/10 cumulus at 8000 feet with thunderstorms all around the area. Due to bad weather over the primary target, all 12 aircraft bombed Natmauk bridge with P-38 escort.",LL3436; PU 778749; Thedaw Airdrome; Natmauk bridge,,,,,,,100 degrees | 78 degrees,190 MPH | 180 MPH,8000 feet | 7000 feet | 7000 feet,,371 rounds,,,,"aircraft listed were 39 with K-24 (three photos), 33 with K-3B (five photos), and 43 with K-17 (eight photos)",,"84 x 500-lb GP bombs with 1/10 nose and 1/40 tail fuzing were carried and all 84 were dropped. First box bombed on a course of 100 degrees at 190 MPH from 7000 feet; second box bombed on a course of 78 degrees at 180 MPH from 7000 feet. Ammunition expended: 371 rounds .50 cal. Assessment says the first box pattern started just south of the bridge, with one hit west of the tracks and another straddling the tracks; pattern continued east about 200 yards beyond the track. The second box pattern started just east of the tracks on the south approach and ran about 300 yards east, with one possible hit on the tracks. Photo aircraft listed were 39 with K-24 (three photos), 33 with K-3B (five photos), and 43 with K-17 (eight photos). Rule-linked candidate IMG_3482.JPG has not yet been reviewed.",0,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}, {""kind"": ""coordinate"", ""lat"": 20.38, ""lon"": 94.88, ""label"": ""Thedaw""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}]"
81BS_1944-10-17_SUPP,1944-10-17,"12th Bombardment Group (M), U.S.A.A.F.",81st Squadron,IMG_3489.JPG,IMG_3490.JPG,no,Single B-25 Mitchell supplement report,1,Silchar,Ref,,Supplement to OpRep 130 (16 Oct 1944): aircraft #23 recovery to home base after overnight Silchar diversion,,,0745,not clearly stated on supplement front,0845,"Narrative states aircraft #23 left the formation the previous day at 21 10N, 93 30E because of weather, proceeded to Silchar and landed there at 1750, spent the night, then took off again at 0745 on 17 October for home base and landed there at 0845. This front is a supplement form rather than a standard full-mission sortie sheet.",21 10N 93 30E; Silchar,,,,,,,,,000 feet,,,,,,were taken from a fixed K-24 camera on the bomb run,,"Supplement to OpRep Ref. 130 of 16 October 1944. Aircraft #23, previously reported not returned, landed back at base on the morning of 17 October after overnighting at Silchar; this supplement records the recovery leg rather than a permanently lost aircraft. The aircraft had made its bomb run with the formation and dropped all bombs: 8 x 500-lb GP fused 1/10 nose x 1/40 tail. Flight indicator failed on this aircraft. Icing was reported at 17,000-18,000 feet. Photos were taken from a fixed K-24 camera on the bomb run. Rule-linked candidate IMG_3490.JPG appears to be an independently legible front-page sortie form and has not been treated as a confirmed reverse side.",1,medium; supplement front rather than standard complete sortie form,"[{""kind"": ""base"", ""lat"": 24.8333, ""lon"": 92.7789, ""label"": ""Silchar""}, {""kind"": ""coordinate"", ""lat"": 24.8333, ""lon"": 92.7789, ""label"": ""Silchar""}, {""kind"": ""event_coordinate"", ""lat"": 21.166667, ""lon"": 93.5, ""label"": ""21 10N, 93 30E""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}]"
81BS_1944-10-18,1944-10-18,12th Bombardment Group (M),81st Bombardment Squadron,IMG_3496.JPG,IMG_3497.JPG,no,"12 B-25s, 4 J's, 8 H's",12,Feni,,,"Stores area #4, Prome, Burma (18 48 N, 95 13 E)",,,0850,,1255,Front page manually reviewed. Strike on stores area #4 at Prome; backside linked by archive rule and not yet individually reviewed.,,,,,,,,,,,,,,,,,,Back linked by archive rule: IMG_3497.JPG is treated as the reverse side for IMG_3496.JPG until separately reviewed.,1,medium; strong front-page extraction with inferred back linkage only,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}, {""kind"": ""coordinate"", ""lat"": 18.8, ""lon"": 95.216667, ""label"": ""18 48 N, 95 13 E""}, {""kind"": ""coordinate"", ""lat"": 18.8246, ""lon"": 95.2222, ""label"": ""Prome""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Feni""}]"
82BS_1944-10-18,1944-10-18,12th Bombardment Group (M),82nd Bombardment Squadron,IMG_3491.JPG,IMG_3492.JPG,yes,12 Mitchells,12,Fenny,,,"Military area #5, Prome, Burma",,,0900,1110/1111,1315,Sortie report front/back manually reviewed from paired images.,,,,,,,,,,,,,,,,,,Back image linked by archive rule: backside image number is one greater than front image number.,0,medium; fields taken from legible front and paired continuation page,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}, {""kind"": ""coordinate"", ""lat"": 18.8246, ""lon"": 95.2222, ""label"": ""Prome""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}]"
83BS_1944-10-18,1944-10-18,12th Bombardment Group (M),83rd Bombardment Squadron,IMG_3490.JPG,IMG_3491.JPG,no,B-25 Mitchell,11,"Fenny A/D, India",,,"Supply Dump #6, Prome, Burma",,primary attacked,0915,1130,1320,"Base direct to Tawma, direct to target; return, left turn off target, target direct to base.",20°55'N 93°11'E,,,,,,,,,,,,,,,,,Plane #55 dropped bombs at 21°10'N 93°05'E at 1025 and returned to base.,2,high for extracted fields present on reviewed page,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny A/D, India""}, {""kind"": ""coordinate"", ""lat"": 20.916667, ""lon"": 93.183333, ""label"": ""20\u00b055'N 93\u00b011'E""}, {""kind"": ""coordinate"", ""lat"": 18.8246, ""lon"": 95.2222, ""label"": ""Prome""}, {""kind"": ""event_coordinate"", ""lat"": 21.166667, ""lon"": 93.083333, ""label"": ""21\u00b010'N 93\u00b005'E""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny A/D, India""}]"
434BS_1944-10-19,1944-10-19,12th Bombardment Group (M),434th Squadron,IMG_3506.JPG,IMG_3507.JPG,no,12 B-25s,12,Comilla,,,"military area at Kennedy Peak, Burma","rail bridge at Chaungu, Burma",alternate attacked,1430,1544-1552,1753,"All planes took off from 1430 to 1435 and flew on a course of 96 degrees toward the primary. Encountering poor weather over Kennedy Peak and finding it too late in the afternoon to bomb the alternate at Chaungu, the formation went on to the last-resort target at Indainggyi. One plane turned back because of engine trouble at 1503 at 23 18N, 92 23E and landed at base at 1537 with all bombs; the other planes returned on a course of 270 degrees.",RU 6176; RU 605781; RU 630717; 23 18N 92 23E; Kennedy Peak; Vital Corner,,,,,,,350 degrees,180 MPH,6200 feet indicated | 200 feet | 000 feet indicated,200 feet,310 rounds,state the first-box pattern ran directly through the center of the previously assigned area and the second box ran along the road to the west,,,"ships were aircraft 88, 87, 79, 85, and 86","79 also photographed Kennedy Peak from 10,000 feet indicated at 1600. 20,000 SJ/40 propaganda leaflets were dropped in the target area","144 x 250-lb M-57 GP bombs with 1/10 nose and 1/40 tail fuzing were carried. 130 bombs were dropped in the target area, 2 bombs were dropped armed at RU 605781, and 12 bombs were brought back. Ammunition expended: 310 rounds .50 cal estimated test fire. Bomb run was on course 350 degrees from about 5200-6200 feet indicated at 180 MPH, interval setting 200 feet. Results state the first-box pattern ran directly through the center of the previously assigned area and the second box ran along the road to the west; no significant results were observed, though black smoke was seen and the whole area was full of large scars from previous bombings. Photo ships were aircraft 88, 87, 79, 85, and 86; aircraft 79 also photographed Kennedy Peak from 10,000 feet indicated at 1600. 20,000 SJ/40 propaganda leaflets were dropped in the target area. A possible camouflaged dump was seen at the fork in the road at RU 630717, and considerable quantities of supplies were reported south of Vital Corner. Rule-linked candidate IMG_3507.JPG appears to be a separate 83rd Squadron front rather than a reviewed reverse side.",1,high for front-page extraction,"[{""kind"": ""base"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}, {""kind"": ""coordinate"", ""lat"": 20.754, ""lon"": 93.728, ""label"": ""Kennedy Peak""}, {""kind"": ""coordinate"", ""lat"": 21.95, ""lon"": 95.27, ""label"": ""Chaungu""}, {""kind"": ""coordinate"", ""lat"": 22.93, ""lon"": 95.33, ""label"": ""Indainggyi""}, {""kind"": ""coordinate"", ""lat"": 20.93, ""lon"": 94.08, ""label"": ""Vital Corner""}, {""kind"": ""event_coordinate"", ""lat"": 23.3, ""lon"": 92.383333, ""label"": ""23 18N, 92 23E""}, {""kind"": ""base_return"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}]"
484BS_1944-10-19,1944-10-19,12th Bombardment Group (M),484th Bombardment Squadron,IMG_3498.JPG,IMG_3499.JPG,no,12 B-25s,12,Comilla,,,"Military area at Vital Corner, Burma (primary)",,alternate attacked,0800,0915 primary / 1015 alternate,1155,All planes took off from 0800 to 0805. Formation flew on course 95 degrees to target. First box turned on primary target and returned on course 276 degrees. Second box continued on course 145 degrees to the alternate and returned on course 290 degrees.,21°58'N 95°08'E; 23°15'N 94°11'E,,,,in target areas,,,95 degrees | 276 degrees | 145 degrees | 290 degrees,,,,,,,,,,All bombs dropped in target areas. Back linked by archive rule to IMG_3499.JPG; front page contains the key route narrative.,2,high for front-page route narrative; target geocoding still partly interpretive,"[{""kind"": ""base"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}, {""kind"": ""coordinate"", ""lat"": 21.966667, ""lon"": 95.133333, ""label"": ""21\u00b058'N 95\u00b008'E""}, {""kind"": ""coordinate"", ""lat"": 23.25, ""lon"": 94.183333, ""label"": ""23\u00b015'N 94\u00b011'E""}, {""kind"": ""coordinate"", ""lat"": 20.93, ""lon"": 94.08, ""label"": ""Vital Corner""}, {""kind"": ""base_return"", ""lat"": 23.4607, ""lon"": 91.1809, ""label"": ""Comilla""}]"
82BS_1944-10-19,1944-10-19,12th Bombardment Group (M),82nd Bombardment Squadron,IMG_3500.JPG,IMG_3501.JPG,no,12 Mitchells,12,Fenny,,,"Enemy troop concentrations at Kennedy Peak, RU 2181",,,0815,0947 first box / 0948 second box,1042,Demolition bombing of enemy troop concentrations at Kennedy Peak. Bombing courses shown as 135 degrees for first box and 140 degrees for second box.,,,,,,,,135 degrees,,,,,,,,,,Front page manually reviewed. Back linked by archive rule to IMG_3501.JPG; reverse side not yet individually reviewed.,0,medium-high; front-page strike details are clear but target coordinates are inferred from place-name geocoding,"[{""kind"": ""base"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}, {""kind"": ""coordinate"", ""lat"": 20.754, ""lon"": 93.728, ""label"": ""Kennedy Peak""}, {""kind"": ""base_return"", ""lat"": 23.014, ""lon"": 91.397, ""label"": ""Fenny""}]"
