source_page,serial_number,name,identification,delivery,assignment,off_inventory,circumstances
40,42-63392,,,5/27/1944,3030BU,12/12/1949,Reclaimed Pyote
40,42-63393,RUSH ORDER,SOLREDRUD I I,5/30/1944,462BG,3/20/1946,Reclaimed Guliport
40,42-63394,LAST RESORT,FOURBLUSTRP R,3/7/1944,40BG,1114/1945,Destroyed in 42-24582 bomb explosion
40,42-63395,,2WHTRUDSTRP,5/3111944,468BG,12/7/1944,Crashed at A-7 returning
40,42-63396,MARIETTA BELLE,FOURREDSTRP M/H,5/3111944,40BG,5/5/1945,Group transfer to Tinian
40,42-63396,MARIETTA BELLE,TRIS 01,5/5/1945,40BG,6/19/1945,Crashed from Toyohashi - Surveyed
40,42-63396,PRETTY BABY,FOURREDSTRP M,5/3111944,40BG,5/5/1945,Group transfer to Tinian
40,42-63396,PRETTY BABY,TRIS 01,5/5/1945,40BG,6/19/1945,Crashed from Toyohashi - Surveyed
40,42-63397,,,6/3/1944,236BU,12/12/1949,Reclaimed Pyote
40,42-63398,,,6/7/1944,19BG,6/27/1949,Reclaimed Davis-Monthan
40,42-63399,LADY MARGE II,DIAM#,6/7/1944,444BG,9/19/1944,Surveyed at Alamogordo
40,42-63400,,,6/7/1944,236BU,2/1111945,Surveyed at Pyote
40,42-63401,,,6/8/1944,500BG,9/14/1948,Reclaimed Victorville
40,42-63402,,,6/12/1944,610EXGP,5/29/1945,Surveyed at Eglin
40,42-63403,,DIAM# 39,6/13/1944,444BG,5/3111946,Class 0 IZ Amarillo
40,42-63404,,FOURYLWSTRP X,6/12/1944,40BG,4/30/1946,Class OIZ Davis-Monthan
40,42-63405,,,6/15/1944,4141BU,12/2111949,Reclaimed Pyote
40,42-63406,,,6/20/1944,19BG,1117/1945,Surveyed Great Bend
40,42-63407,SHOOT YOU'RE FADED,FOURYLWSTRP S,7/22/1944,40BG,5/15/1947,Reclaimed Tinker
40,42-63408,,,,4105BU,6/27/1949,Reclaimed Davis-Monthan
40,42-63409,,,8/7/1944,499BG,12/2111949,Reclaimed Pyote
40,42-63410,,,8/3/1944,6BG,2/23/1945,Surveyed-crashed T/O with engine fire
40,42-63411,DUCHESS,FOURREDSTRP,9/16/1944,40BG,,Transferred to 444BG in CBI
40,42-63411,DUCHESS,DIAM 61,,444BG,5/5/1945,Group transfer to Tinian
40,42-63411,DUCHESS,TRI N 61 (I),5/5/1945,444BG,6/30/1946,Reclaimed
40,42-63412,PEACE ON EARTH,ASQ25 (I),8/24/1944,497BG,3/4/1945,Ditched - out of fuel
40,42-63413,DIXIE DARLIN',A SQ 45 (I),8/30/1944,497BG,12/18/1944,Ditched from Nagoya
40,42-63414,THE JUMPING STUD,A SQ 49 (I),9/6/1944,497BG,7/4/1945,Ditched from Minashima
40,42-63415,JOLLY ROGER,2BLURUDSTRP,9/9/1944,468BG,5/1111945,Group transfer to Tinian
40,42-63415,JOLLY ROGER,TRI I 22,5/1111945,468BG,6/27/1949,Reclaimed Davis-Monthan
40,42-63416,,T SQ 46 (I),9/7/1944,498BG,5/5/1945,"Ditched, engine fire"
40,42-63417,RUSHIN' ROTASHUN,2WHTRUDSTRP,9/22/1944,468BG,5/10/1949,Group transfer to Tinian
40,42-63417,RUSHIN' ROTASHUN,TRI I 5,9/22/1944,468BG,5/10/1949,Reclaimed Tinker
40,42-63418,"JUMBO, KING OF THE SHOW",A SQ 50 (I),8/25/1944,497BG,113/1945,Ditched-out of fuel
40,42-63419,,DIAM#,9/19/1944,444BG,l l/1111944,"Abandoned, possible icing"
40,42-63420,RANKLESS WRECK,FOURREDSTRP DIP,9/16/1944,40BG,5/5/1945,Group transfer to Tinian
40,42-63420,RANKLESS WRECK,TRIS 09 (I),5/5/1945,40BG,6/5/1945,Combat damage-salvaged lwo Jima
40,42-63421,,,8/17/1944,245BU,12/2111949,Reclaimed Pyote
40,42-63422,LITTLE MIKE,DIAM#,9/7/1944,444BG,5/10/1945,Group transfer to Tinian
40,42-63422,LITTLE MIKE,TRI N 52,5/10/1945,444BG,11130/1945,Declared Excess to Inventory
40,42-63423,WERE WOLF,ASQ28 (I),8/25/1944,497BG,1127/1945,Bombs exploded Bomb Bay-fighter attack
40,42-63424,HAP'S CHARACTERS,2WHTRUDSTRP,8/29/1944,468BG,5/1111945,Group transfer to Tinian
40,42-63424,HAP'S CHARACTERS,TRI I 9,5/1111945,468BG,312311949,Reclaimed Tinker
40,42-63425,THE DRAGON LADY,ASQ41 (I),8/26/1944,497BG,111111948,Reclaimed Davis-Monthan
40,42-63425,TERRIBLE TERRY,ASQ41 (I),8/26/1944,497BG,111111948,Reclaimed Davis-Monthan
40,42-63426,FICKLE FINGER,ASQ47,9/6/1944,497BG,12/111944,Crashed Tinian - surveyed
40,42-63427,MISS MARGARET,ASQ,9/4/1944,497BG,2/26/1945,Ditched. Weather strike?
40,42-63428,,T SQ 10 (I),,498BG,11127/1944,Surveyed - destroyed in enemy raid
40,42-63429,PACIFIC QUEEN,Z SQ35 (I),9/9/1944,500BG,7/14/1949,Reclaimed Robins
40,42-63430,,T SQ I (I),9/4/1944,498BG,12/13/1944,Ditched from Nagoya
40,42-63431,PONDEROUS PEG,A SQ 44 (I),8/3111944,497BG,2/25/1945,Mid-air collision with 42-24808
40,42-63432,LUCKY IRISH,T SQ28 (I),9/22/1944,498BG,12/3/1944,"Ditched, out of fuel"
41,42-63433,,,9/4/1944,498BG,9/28/1944,Surveyed Kearney after collision
41,42-63434,PER FORT SUE IRONSIDES,Z SQ3 (1) Z19 ZSQ19 Z SQ28 (1),9/18/1944 9/18/1944 9/18/1944 4/30/1944,462BG 500BG 500BG 500BG,10/7/1949 5/3111946 5/3111946 5/10/1949,Class 01 Z Chanute Salvaged Salvaged at Memphis Reclaimed Pyote
41,42-63437,BELL,VSQ 42 (1),9/18/1944 9/18/1944,4196BU 499BG,7/14/1949 11127/1944,Reclaimed Robins Blown up in Jap raid on Saipan
41,42-63438,,VSQ26 (1),9/18/1944,499BG,11127/1944,Surveyed - destroyed in enemy raid
41,42-63439,,VSQ47(1) VSQIO(l),9/22/1944 9/25/1944,499BG 499BG,12/13/1944 6/4/1945,Crashed in sea off Japan Lost on test flight
41,42-63441,II DEE,ZSQ46 VSQ47 T SQ 12 (2),9/25/1944 9/28/1944 9/27/1944,500BG 499BG 498BG,5/10/1949 10/15/1948 9/1111950,Reclaimed Tinker Reclaimed Weaver Reclaimed Pyote
41,42-63443,,T SQ25 (3),9/27/1944,498BG,9/1111950,Reclaimed Pyote
41,42-63443,"HAWK ROGER COMET, THE SPIRIT SPIRIT Ill, OAT'S MY BOY",TSQ37 T SQ 45(2) L TRI TRI I 52 TSQ56 DIAM# TRI N 42 VSQ50 (1),9/27/1944 9/30/1944 9/30/1944 10/111944 10/111944 10/9/1944 5/10/1945 10/111944,498BG 498BG 6BG 468BG 498BG 444BG 444BG 499BG,9/1111950 9/1111950 9/1111950 5/24/1945 5/10/1945 9/1111950 12/13/1944,Reclaimed Pyote Reclaimed Pyote Reclaimed Pyote Crashed landing home base Unknown Group transfer to Tinian Reclaimed Pyote Ditched 90 miles off Saipan-out of fuel
41,42-63448,,SOLYLWRUD,10/4/1944,462BG,5/5/1945,Group transfer to Tinian
41,42-63448,,TRI U 23,5/5/1945,462BG,9/1111950,Reclaimed Pyote
41,42-63449,,,10/6/1944,4141BU,9/1111950,Reclaimed Pyote
41,42-63450,,SOLREDRUD XI,,462BG,,Reclaimed
41,42-63450,JACK TOO JACK TOO,TRI U 12 DIAM# TRI N 40 (1),10/13/1944 5/10/1945,462BG 444BG 444BG,5/10/1945 6/5/1945,"Reclaimed Group transfer to Tinian Wing broke off at #3, Engine fire"
41,42-63452,SISTER BIRD BIRD,SOLGRNRUD VSQ4 (2) SOLGRNRUD X3 TRI U 42 FOURREDSTRP C/L TRIS 10,10/9/1944 10/12/1944 10/16/1944 5/5/1945 5/5/1945,462BG 499BG 462BG 462BG 40BG 40BG,12/14/1944 6/30/1946 5/5/1945 9/1111950 5/5/1945,"Abandoned, fuel trasnsfer system out Reclaimed P inecastle Group transfer to Tinian Reclaimed Pyote Group transfer to Tinian Unknown"
41,42-63456,,2BLURUDSTRP,10/15/1944,468BG,5/1111945,Group transfer to Tinian
41,42-63456,BEAUTY BEAUTY ACQUAINTANCE DING,TRI I21 SOLYLWRUD Tl TRI U 07 SOLREDRUD T 1 DIAM#,5/1111945 10/15/1944 5/5/1945 10/15/1944 10/20/1944,468BG 462BG 462BG 462BG 444BG,12/6/1950 5/5/1945 6/17/1954 6/17/1954 12/24/1944,Reclaimed Group transfer to Tinian Class 26 Sheppard Class 26 Sheppard Crashed after takeoff
41,42-63459,,SOLREDRUD Zl,10/20/1944,462BG,5/5/1945,Group transfer to Tinian
41,42-63459,TOO TOO,TRIU 8 2BLURUDSTRP TRI I 28,5/5/1945 12/13/1944 5/1111945,462BG 468BG 468BG,10/111954 5/1111945,Reclaimed Tinker Group transfer to Tinian Unknown
41,42-63461,LEMON LEMON II RINGER RINGER,ASQ30 (1) FOURBLUSTRP K TRIS 20 (1) ASQ9 (2) 2YLWRUDSTRP TRI I 53 (2),10/25/1944 10/23/1944 5/5/1945 10/19/1944 10/20/1944 5/1111945,497BG 40BG 40BG 497BG 468BG 468BG,12/3/1944 5/5/1945 5/13/1945 2/19/1945 5/1111945 9/1111950,Ditched-out of fuel Group transfer to Tinian Surveyed - broke in two landing Surveyed Group transfer to Tinian Reclaimed Tinker
41,42-63465,FOR ACTION,VSQ28 ASQ32,10/22/1944 1113/1944,499BG 497BG,6/6/1947 8/25/1950,Reclaimed Sioux City Reclaimed McClellan
41,42-63467,,ASQ,10/30/1944,497BG,9/1111950,Reclaimed Tinker
41,42-63468,TIME GAL,T SQ02 (3) TSQ33,10/25/1944,498BG 498BG,2/10/1945,"# 1 engine out, disappeared Reclaimed"
41,42-63470,DRAGGIN DRAGGIN,ASQ 47 (2) SOLGRNRUD TRI U 45,10/30/1944 10/3111944 10/28/1944 5/5/1945,497BG 497BG 462BG 462BG,11116/1944 9/1111950 5/5/1945 6/22/1950,Surveyed at Herington Reclaimed Pyote Group transfer to Tinian Reclaimed Davis-Monthan
41,42-63473,,SOLGRNRUD K3,10/29/1944,462BG,5/5/1945,Group transfer to Tinian
41,42-63473,,TRI U 46,5/5/1945,462BG,9/1111950,Reclaimed Tinker
41,42-63474,,SOLYLWRUD,10/3111944,462BG,5/5/1945,Group transfer to Tinian
41,42-63474,HONEY,TRI U 26 TSQ51,5/5/1945 1111111944,462BG 498BG,12/6/1950 9/1111950,Reclaimed McClellan Reclaimed Tinker
42,42-63476,,SOLYLWRUD,11/11/1944,462BG,5/511945,Group transfer to Tinian
42,42-63476,,TRI U 24,5/5/1945,462BG,9/11/1950,Reclaimed Tinker
42,42-63477,,VSQ,58BW,499BG,,Ditched
42,42-63478,SOUTHERN BELLE,T SQ35,11/15/1944,498BG,9/11/1950,Reclaimed Tinker
42,42-63479,,,11/10/1944,462BG,2/24/1945,Ditched
42,42-63480,DREAMGIRL,SOLREDRUD HI,,462BG,5/5/1945,Group transfer to Tinian
42,42-63480,DREAMGIRL,TRIU 14,5/5/1945,462BG,,Unknown
42,42-63481,(VARGA GIRL),E TRI,11/13/1944,504BG,9/11/1950,Reclaimed Tinker
42,42-63481,PAPPY'S PULLMAN II,E TRI,11/13/1944,504BG,9/11/1950,Reclaimed Tinker
42,42-63481,(VARGA GIRL),VSQ50,11/13/1944,499BG,,Transferred to 504BG
42,42-63481,HONSHU HURRICANE,VSQ50,11/13/1944,499BG,,Transferred to 504BG
42,42-63482,,KTRI,11/11/1944,505BG,3/9/1945,Ditched - out of fuel
42,42-63483,,VSQll,11/15/1944,499BG,4/25/1945,Crashed 20 miles off coast of Japan
42,42-63484,HONORABLE TNT WAGON,KTRI,11/13/1944,505BG,5/19/1945,MIA
42,42-63485,HOT PANTS,ASQ12,11/17/1944,497BG,12/11/1944,Unknown
42,42-63486,HELI:S BELLE,ZSQ7 (2),11/17/1944,500BG,5/25/1945,Crashed Tokyo
42,42-63486,NAUGHTY NANCY,Z7,11/17/1944,500BG,5/23/1945,Shot down in sea near Tokyo
42,42-63487,CONSTANT NYMPH,ZSQ30 (I),11/22/1944,500BG,1/5/1950,Reclaimed Victorville
42,42-63488,,SOLGRNRUD,,462BG,5/5/1945,Group transfer to Tinian
42,42-63488,,TRI U 44,5/5/1945,462BG,,Unknown
42,42-63489,HOLY JOE,Z SQ 11 (2),11/22/1944,500BG,2/2111945,Surveyed from crash landing 2/15/45
42,42-63489,ROUND ROBIN,Z SQ 11 (2),11/22/1944,500BG,2/2111945,Surveyed from crash landing 2/15/45
42,42-63490,,Z SQ 45 (2),,500BG,,Survived war
42,42-63490,,SPEEDWING GRN,,307BG,,Unknown
42,42-63491,,VSQ,11/22/1944,499BG,6/17/1954,Class 26 Sheppard
42,42-63492,STAR DUSTER,,,499BG,4/24/1945,Rammed by fighter
42,42-63492,LUCKY IRISH II,ASQ26 (2),11/22/1944,497BG,9/11/1950,Reclaimed Pyote
42,42-63493,STAR DUSTER,VSQ36,11/22/1944,499BG,3/24/1945,Exploded over target
42,42-63494,,ZSQ31 (2),11/22/1944,500BG,2/19/1945,Shot down Tokyo
42,42-63495,FAST COMPANY,VSQ12,11/24/1944,499BG,10/30/1946,Reclaimed Victorville
42,42-63496,LITTLE MISS,DIAM# 50,11/29/1944,444BG,5/10/1945,Group transfer to Tinian
42,42-63496,NAUGHTY NANCY,DIAM# 50,11/29/1944,444BG,5/10/1945,Group transfer to Tinian
42,42-63496,NAUGHTY NANCY,TRI N 50 (I),5/10/1945,444BG,6/111945,MIA after collision with 42-65270
42,42-63497,FEVER FROM THE SOUTH,ZSQ32,,500BG,5/23/1945,
42,42-63498,B-SWEET III,FOURREDSTRP B,11/24/1944,40BG,5/5/1945,Group transfer to Tinian
42,42-63498,B-SWEET III,TRIS 02 (I),5/5/1945,40BG,5/24/1945,"Abandoned from Tokyo, fire #3 Engine"
42,42-63498,LAZY BABY,FOURREDSTRP B,11/24/1944,40BG,5/5/1945,Group transfer to Tinian
42,42-63498,LAZY BABY,TRIS 02 (2),5/5/1945,40BG,5/24/1945,"Abandoned from Tokyo, fire #3 Engine"
42,42-63499,CORAL QUEEN,E TRI,11/30/1944,504BG,2/16/1945,Ditched north of Marianas
42,42-63499,38 SEA BEES,E TRI,11/30/1944,504BG,2/16/1945,Ditched north of Marianas
42,42-63500,GRAVEL GERTIE,2WHTRUDSTRP,11/30/1944,468BG,5/11/1945,Group transfer to Tinian
42,42-63500,GRAVEL GERTIE,TRI I 12,5/1111945,468BG,7/3/1945,Crashed offshore from Kagawa
42,42-63501,,T SQ 12/2 (2),11/26/1944,498BG,1/27/1945,Shot down leaving Tokyo
42,42-63502,LONG JOHN SILVER,SOLGRNRUD,11/30/1944,462BG,5/5/1945,Group transfer to Tinian
42,42-63502,LONG JOHN SILVER,TRI U 47,5/5/1945,462BG,7/3111946,Reclaimed Lowry
42,42-63503,SKY SCRAPPER,SOLYLWRUD,,462BG,5/5/1945,Group transfer to Tinian
42,42-63503,SKY SCRAPPER,TRI U 30,5/5/1945,462BG,6/30/1946,Reclaimed Amarillo
42,42-63504,FLAG SHIP,E TRI 2,11/28/1944,504BG,9/11/1950,Reclaimed Tinker
42,42-63505,DRAGGIN' LADY,FOURREDSTRP D,11/27/1944,40BG,5/5/1945,Group transfer to Tinian
42,42-63505,DRAGGIN' LADY,TRIS 04,5/5/1945,40BG,6/17/1954,Class 26 Sheppard
42,42-63506,UNTOUCHABLE,SOLREDRUD,11/30/1945,462BG,9/25/1944,"#2 engine fire on TIO, hit ground, exploded"
42,42-63507,,E TRI,11/30/1944,504BG,9/11/1950,Reclaimed Pyote
42,42-63508,PEACHY,KTRI9 (I),12/7/1944,505BG,5/26/1945,"Lost Tokyo, crashed Chiba"
42,42-63509,LONG WINDED ANN GARRY III,X TRI 38/50 L TRI 37,12/5/1944,9BG 6BG,5/22/1945 1/111945,"Abandoned,#2 engine shot out, #4 quit Shot down by P-61 after abnd over Iwo"
42,42-63510,,KTRI,11/30/1944,505BG,1/29/1945,Xfr to 498BG. To Guam Air Depot 4/10/45
42,42-63510,HEAVENLY BODY,T SQ38,1129/1945,498BG,5/111945,Surveyed Guam Air Depot 4/ 114 5 damage
42,42-63511,MANO' WAR II,X TRI 1117,12/4/1944,9BG,4/00/45,Tail code change
42,42-63511,MANO' WAR II,CIRCXI,4/00/45,9BG,7/31/1946,Reclaimed Lowry
42,42-63512,NIP CLIPPER,CIRCX23,12/5/1944,9BG,8/8/1945,Shot down by flak at Yawata
42,42-63513,RAMP QUEEN,KTRI7(1),11/30/1944,505BG,1/00/45,Transfer to 498BG
42,42-63513,RAMP QUEEN,VSQ5(2),l/00/45,499BG,5/25/1945,Shot down Tokyo
42,42-63514,CAPT CLAY,L TRI,12/4/1944,6BG,5/25/1945,Shot down Tokyo
42,42-63515,,L TRI,12/7/1944,6BG,9/11/1950,Reclaimed Tinker
42,42-63516,,L TRI,12/5/1944,6BG,10/17/1946,Reclaimed Amarillo
43,42-63533,TRIN,32,511911945,444BG,,Unknown
43,42-63533,L III 2BLURUDSTRP III TRII31,TRI,1211311944 511111945,6BG 468BG 468BG,511111945 911111950,Unknown Group transfer to Tinian Reclaimed Pyote
43,42-63535,L YOKUM 2WHTRUDSTRP YOKUM TRII6 E CALL DIAM# CALL TRIN VICTORY II FOURBLUSTRP VICTORY II TRIS OF HIGHLAND FALLS BLKSQK67 OF PRAGUE BLKSQK67,TRI 01 TRI 13 13 A 24 24 (I),12/20/1944 12/18/1944 511111945 12/2611944 5/10/1945 1211911944 5/2511945 12/20/1944 12/20/1944,6BG 468BG 468BG 504BG 444BG 444BG 40BG 40BG 330BG 330BG,911111950 511111945 5/2511945 5/10/1945 5/2511945 5/2511945 5/2611945,Reclaimed Tinker Group transfer to Tinian Shot down Tokyo Unknown Group transfer to Tinian Crashed from Tokyo Group transfer to Tinian Crashed Tokyo - flak Unknown Unknown
43,42-63540,SOLREDRUD,NI,12/18/1944,462BG,5/511945,Group transfer to Tinian
43,42-63540,TRI GHASTLY GOOSE ASQ BUTZER FOURBLUSTRP BUTZER TRIS,U 11 46 (2) R 14,5/511945 12/2311944 1211911944 5/511945,462BG 497BG 40BG 40BG,911111950 112711945 5/511945 911111950,Reclaimed Tinker Rammed; ditched from Tokyo Group transfer to Tinian Reclaimed Tinker
43,42-63543,ARMY X X II X,TRI 26 TRI 28 TRI 44 (I),1211911944 12/28/1944 12/2311944,4141BU 9BG 9BG 9BG,911111950 11411951 4/1611945 311711945,Reclaimed Pyote Reclaimed Hill Crashed Tokyo from Kawasaki Crashed Oakibe
43,42-63547,BLKSQM USA DIAM# USA TRIN,36 36,5/10/1945,19BG 444BG 444BG,5/10/1945,Unknown Group transfer to Tinian Unknown
43,42-63548,L EXPRESS KTRI VSQ27 BOAT L STRIKE L,TRI (3) TRI 64 TRI 27,12/3111944 12/3111944 11411945 12/3111944,6BG 505BG 499BG 6BG 6BG,5/711945 911111950 4/711949 712111946,Unknown Rammed by a Ki-45-MSgt Murata Reclaimed Pyote Reclaimed McClellan Crashed in sea
43,42-63552,TRI!,,12/3111945,468BG,712111946,Crashed in sea
43,42-63553,L LACE T EYES FOURYLWSTRP,TRI 26 SQ25 (2) K,11511945 113111945 11511945,6BG 498BG 40BG,311311945 911111950 5/511945,Crashed takeoff to Osaka Reclaimed Pyote Group transfer to Tinian
44,42-63555,DARK EYES,TRIS 29 (I),5/5/1945,40BG,9/1111950,Reclaimed Tinker
44,42-63556,EARLY BIRD,X TRI25,119/1945,9BG,9/1111950,Reclaimed Tinker
44,42-63557,MISSOURI BELLE,DIAM#,,444BG,5/10/1945,Group transfer to Tinian
44,42-63557,MISSOURI BELLE,TRI N 35,5/10/1945,444BG,,Unknown
44,42-63557,SURE THING,TRI N 45,,444BG,,Unknown
44,42-63557,SURE THING,BLKSTRP,,19BG,,Unknown
44,42-63558,,L TRI,1114/1945,6BG,5/25/1945,"Shot down, crashed Tokyo"
44,42-63559,PRINCESS EILEEN III,DIAM#,,444BG,5/10/1945,Group transfer to Tinian
44,42-63559,PRINCESS EILEEN III,TRI N 43,5/10/1945,444BG,,Unknown
44,42-63560,,SOLREDRUD Al,116/1945,462BG,5/5/1945,Group transfer to Tinian
44,42-63560,,TRI U 04,5/5/1945,462BG,9/1111950,Reclaimed Tinker
44,42-63561,READY TEDDY,X TRI29 (1),111111945,9BG,5/26/1946,Reclaimed Fairchild
44,42-63562,,BLKSQO,1114/1945,29BG,9/1111950,Reclaimed Tinker
44,42-63563,MAXIMUM LOAD,BLK SQM 23 (I),1112/1945,19BG,6/13/1945,Crashed on takeoff
44,42-63564,CHERRY-HORIZONTAL CAT,BLKSQO,111111945,29BG,3/9/1945,Crashed Ubo Mt in weather per Japanese
44,42-63565,CITY OF SAN ANTONIO,BLK SQ 0 46 (1),1113/1945,29BG,6/17/1954,Class 26 Sheppard
44,42-63565,WHERE'S KILROY,BLK SQ 0 46 (1),1113/1945,29BG,6/17/1954,Class 26 Sheppard
44,42-63566,FIRE BUG,BLK SQ 0 43(1),1114/1945,29BG,8/25/1950,Reclaimed McClellan
44,42-63567,CITY OF PROVIDENCE,BLK SQM 28 (I),1114/1945,19BG,6/10/1945,Ditched from Kure
44,42-63568,,BLKSQO (1),,29BG,,Reclaimed
44,42-63569,ZERO AVENGER,BLKSQM 11 (I),1118/1945,19BG,3/9/1945,"MIA Tokyo, crashed Kawaguchi"
44,42-63570,THUNDERBIRD,BLK SQ 0 07(1),1118/1945,29BG,,Reclaimed
44,42-63571,,BLKSQO (1),1114/1945,29BG,5/1111945,Crashed on takeoff
44,42-63572,,,1118/1945,4105BU,6/22/1950,Reclaimed Davis-Monthan
44,42-63573,,BLK SQM 30 (I),1114/1945,19BG,7/18/1949,Reclaimed Chanute
44,42-63574,OLD 574,XTRI41 (1),1115/1945,9BG,114/1951,Reclaimed Hill
44,42-63575,,,1122/1945,4141BU,9/1111950,Reclaimed Pyote
44,42-63576,,,1119/1945,4141BU,9/1111950,Reclaimed Pyote
44,42-63577,,,,,,Unknown
44,42-63578,,,1117/1945,233BU,1116/1946,Surveyed at Pyote
44,42-63579,,BLKSQO,2/19/1945,29BG,6/22/1950,Reclaimed Davis-Monthan
44,42-63580,,FOURYLWSTRP V,1127/1945,40BG,5/5/1945,Group Transfer to Tinian
44,42-63580,,TRIS 28,5/5/1945,40BG,9/1111950,Reclaimed Tinker
44,42-63581,,,112111945,4105BU,6/22/1950,Reclaimed Davis-Monthan
44,42-63582,,,1126/1945,242BU,9/1111950,Reclaimed Pyote
44,42-63583,,,112111945,611EXGP,9/1111950,Reclaimed Pyote
44,42-63584,,FA,,,,Unknown
44,42-63585,,,1123/1945,4141BU,9/1111950,Reclaimed Pyote
44,42-63586,,,,,,Unknown
44,42-63587,,,,,,Unknown
44,42-63588,,,1126/1945,4141BU,9/1111950,Reclaimed Pyote
44,42-63589,,DIAMB,2/6/1945,16BG,8/23/1950,Reclaimed Rob ins
44,42-63590,,,113111945,4141BU,9/1111950,Reclaimed Pyote
44,42-63591,,,,,,Unknown
44,42-63592,,,1126/1945,4141BU,9/1111950,Reclaimed Pyote
44,42-63593,RAGGED BUT RIGHT,DIAM L 28,113111945,331BG,9/1111950,Reclaimed Pyote
44,42-63594,,ASQ,,497BG,,Unknown
44,42-63595,,,1127/1945,4141BU,9/1111950,Reclaimed Pyote
44,42-63596,,,1127/1945,4141BU,9/1111950,Reclaimed Pyote
44,42-63597,,,113111945,4141BU,9/1111950,Reclaimed Pyote
44,42-63598,,,113111945,4000BU,3/5/1945,Surveyed at Wright-Patterson
44,42-63599,,DIAMY,2/8/1945,501BG,9/1111950,Reclaimed Tinker
44,42-63600,ROAD APPLE,DIAMY,2/1/1945,501BG,5/9/1945,Missing Kobe with 314th Bomb Wing
44,42-63601,BELLE OF MARTINEZ,DIAMY 45,2/8/1945,501BG,8/23/1950,Reclaimed Rob ins
44,42-63602,,,1129/1945,4141BU,9/1111950,Reclaimed Pyote
44,42-63603,,DIAMB,2/8/1945,16BG,7/12/1945,"Abandoned, prop malfunction"
44,42-63604,,,,,,Unknown
44,42-63605,ELLIE BARBARA & HER ORP,DIAMB,,16BG,,Reclaimed
44,42-63606,,DIAM L 21 (1),2/3/1945,331BG,8/25/1950,Reclaimed McClellan
44,42-63607,,DIAMY,2/6/1945,501BG,9/1111950,Reclaimed Tinker
44,42-63608,,DIAMB,2/7/1945,16BG,8/25/1950,Reclaimed Pyote
44,42-63609,,DIAM L 41 (1),2/12/1945,331BG,10/3/1950,Reclaimed
44,42-63610,BUGGER,DIAM L 1 (I),,331BG,,Reclaimed
44,42-63611,,DIAM L 47 (1),2/12/1945,331BG,8/25/1950,Reclaimed McClellan
44,42-63612,,DIAM L 42 (1),,331BG,,Reclaimed
45,42-63613,,DIAMB,,16BG,,Reclaimed
45,42-63614,,DIAMH,,502BG,,Reclaimed
45,42-63614,ISLAND GIRL,CIRCW,,505BG,,Unknown
45,42-63615,,DIAMY 2/10/1945,,501BG,911111950,Reclaimed Pyote
45,42-63616,,DIAMH 211211945,,502BG,8/2511950,Reclaimed McClellan
45,42-63617,,DIAMB 211911945,,16BG,911411951,Reclaimed Hill
45,42-63618,,DIAML,,331BG,,Reclaimed
45,42-63619,,DIAMH,,502BG,,Reclaimed
45,42-63619,BIG MIKE,KTRI,,505BG,,Unknown
45,42-63620,,DIAMH 211911945,,502BG,8/2511950,Reclaimed McClellan
45,42-63621,,DIAM B 33 2/20/1945,,16BG,911111950,Reclaimed Tinker
45,42-63622,,2/2611945,,4141BU,911111950,Reclaimed Pyote
45,42-63623,,DIAMH,,502BG,,Reclaimed
45,42-63624,,DIAMH 31111945,,502BG,1118/1950,Reclaimed Hill
45,42-63625,,2/28/1945,,245BU,6/2111945,Class 0 I Z McCook
45,42-63626,,DIAMB 2/2111945,,16BG,612211950,Reclaimed Davis-Monthan
45,42-63627,,DIAM Y 31 2/2111945,,501BG,,Reclaimed
45,42-63628,,DIAMB 2/20/1945,,16BG,911111950,Reclaimed Tinker
45,42-63629,,2/2511945,,235BU,911111950,Reclaimed Pyote
45,42-63630,,DIAMB 211711945,,16BG,911111950,Reclaimed Tinker
45,42-63631,,DIAM L 22,,331BG,,Reclaimed
45,42-63632,,,,,,Reclaimed
45,42-63633,,2/2611945,,4141BU,911111950,Reclaimed Pyote
45,42-63634,,2/2411945,,4141BU,911111950,Reclaimed Pyote
45,42-63635,,2/2411945,,4141BU,911111950,Reclaimed Pyote
45,42-63636,,2/2611945,,4141BU,911111950,Reclaimed Pyote
45,42-63637,,2/28/1945,,4141BU,911111950,Reclaimed Pyote
45,42-63638,,2/2611945,,4141BU,911111950,Reclaimed Pyote
45,42-63639,,DIAMY 2/2411945,,501BG,911111950,Reclaimed Pyote
45,42-63640,THE BOOMERANG,DIAMY 2/2411945,,501BG,6/1/1951,Reclaimed Hill
45,42-63641,,DIAMY 2/28/1945,,501BG,3/3111951,Reclaimed Tinker
45,42-63642,,2/2711945,,235BU,8/611945,Surveyed at Biggs
45,42-63643,,,,235BU,,
45,42-63644,,DIAMB 2/2611945,,16BG,11411951,Reclaimed Hill
45,42-63645,,2/28/1945,,4141BU,911111950,Reclaimed Pyote
45,42-63646,,DIAMB 3/211945,,16BG,911111950,Reclaimed Tinker
45,42-63647,,,,235BU,,Reclaimed
45,42-63648,,2/28/1945,,4141BU,911111950,Reclaimed Pyote
45,42-63649,,DIAMB 3/511945,,16BG,911111950,Reclaimed Tinker
45,42-63650,FLEET ADMIRAL NIMITZ,DIAMY 3/911945,,501BG,3/3111951,Reclaimed Tinker
45,42-63651,,DIAMB 3/611945,,16BG,8/2511950,Reclaimed McClellan
